form_id,form_name,fl_catalog_id,coord_x,coord_y,coord_z,curvature_local,basin_id,basin_position,stability_score,perturbation_resistance,form_category,prime_association,domain,first_measured,measurement_method,confidence,surveyor,description,notes
MS-0247,Secondary Narrow Pattern,,0.8066,0.307,0.394,-0.472,BA-007,inner,0.62,0.52,minor_attractor,,creature,924,similarity_inference,0.57,Western Archive Team,Secondary attractor providing intermediate stability. Archive Survey Team documentation.,
MS-0248,Resonant Attractor,,-0.7561,0.0378,-0.3626,-2.0,BA-008,outer,0.54,0.56,minor_attractor,,structure,928,direct_triangulation,0.7,Senate Survey,Sheltered form in the lee of the major attractors. Adjacent to documented geodesic path.,
MS-0249,The Shallow Bridge,,0.1198,0.3951,0.7345,-2.0,BA-017,ridge_adjacent,0.41,0.4,transitional,5,creature,930,similarity_inference,0.95,Boundary Commission,Passage form connecting distinct regions of morphospace. Shows oscillation similar to FL-003.,
MS-0250,The Flat Resting Form,,-0.1119,0.8767,0.5122,-0.565,BA-014,inner,0.64,0.53,minor_attractor,11,entity,920,historical_reconstruction,0.83,Archive Survey Team,Sheltered form in the lee of the major attractors. Near saddle point SP-001.,
MS-0251,Curved Minor,,0.4239,0.1092,-0.8556,-2.0,BA-010,outer,0.64,0.64,minor_attractor,,behavior,926,boundary_extrapolation,0.59,E. Pol (historical),Local minimum in the morphospace landscape. Shows oscillation similar to FL-003.,
MS-0252,Orbital Minor,,-0.6673,0.4672,-0.4,0.027,BA-016,inner,0.64,0.5,minor_attractor,3,creature,927,similarity_inference,0.85,Boundary Commission,Stable resting form on the slopes of Basin Basin 016. Shows oscillation similar to FL-003.,
MS-0253,Shallow Waypoint,,0.1769,-1,-0.2373,-0.898,BA-012,ridge_adjacent,0.39,0.39,transitional,,creature,923,similarity_inference,0.9,Archive Survey Team,Waypoint between Basin Basin 012 and adjacent territory. Identified through transformation trajectory analysis.,
MS-0254,The Axial Mode,,-0.5167,-0.6664,-0.0513,-1.023,BA-027,inner,0.89,0.84,major_attractor,,creature,928,similarity_inference,0.64,T. Vells,Deep attractor drawing systems from a wide catchment. Basin assignment contested until Year 920.,
MS-0255,The Narrow Form,,-0.6131,0.5324,-0.2114,-0.245,BA-036,center,0.97,0.95,major_attractor,2,creature,924,similarity_inference,0.57,Archive Survey Team,Strong attractor with high escape velocity. Possibly connected to Keth's spatial observations.,
MS-0256,Secondary Tertiary Pattern,,-0.3667,0.5641,0.0975,-1.923,BA-009,outer,0.56,0.51,minor_attractor,,behavior,921,similarity_inference,0.84,E. Pol (historical),Secondary attractor providing intermediate stability. Prime association uncertain.,
MS-0257,The Northern Resting Form,,-0.1143,0.5654,0.4609,-0.539,BA-017,outer,0.59,0.66,minor_attractor,2,behavior,927,historical_reconstruction,0.67,Independent Scholar,Sheltered form in the lee of the major attractors. Archive Survey Team documentation.,
MS-0258,The Shallow Configuration,,-0.197,-0.5371,-0.9139,0.146,BA-046,inner,0.76,0.68,minor_attractor,5,creature,918,similarity_inference,0.67,C. Vells,Secondary attractor providing intermediate stability. Basin assignment contested until Year 920.,
MS-0259,The Spiral Cycle,,-0.3275,0.9395,0.2975,-0.051,BA-049,inner,0.91,0.83,major_attractor,3,phenomenon,921,similarity_inference,0.76,C. Vells,Highly stable form at the center of Basin Basin 049. Position confirmed by multiple observers.,
MS-0260,The Recent Passage,,-0.2123,0.4182,-0.6187,-2.0,BA-015,ridge_adjacent,0.28,0.21,transitional,5,phenomenon,928,similarity_inference,0.76,Boundary Commission,Passage form connecting distinct regions of morphospace. Near saddle point SP-001.,
MS-0261,Ancient Waypoint,,-0.0449,-0.9128,-0.6851,-1.604,BA-025,ridge_adjacent,0.39,0.22,transitional,2,creature,923,historical_reconstruction,0.85,Independent Scholar,Ridge-adjacent form where systems pause briefly. Basin assignment contested until Year 920.,
MS-0262,The Orbital Pattern,,0.7913,0.7172,0.7033,1.217,BA-013,center,0.94,0.83,major_attractor,,place,926,similarity_inference,0.84,Archive Survey Team,Strong attractor with high escape velocity. Shows oscillation similar to FL-003.,
MS-0263,The Flat Configuration,,-0.7855,-0.1012,-0.798,-1.903,BA-042,outer,0.72,0.63,minor_attractor,3,place,918,direct_triangulation,0.74,Independent Scholar,Local minimum in the morphospace landscape. Basin assignment contested until Year 920.,
MS-0264,Narrow State,,0.7199,0.6416,0.906,1.039,BA-005,inner,0.8,0.73,minor_attractor,5,behavior,929,similarity_inference,0.61,Senate Survey,Sheltered form in the lee of the major attractors. Basin assignment contested until Year 920.,
MS-0265,Outer Transition,,0.4884,0.1387,-0.6902,-0.946,BA-010,outer,0.44,0.45,transitional,3,behavior,931,boundary_extrapolation,0.64,Boundary Commission,Ridge-adjacent form where systems pause briefly. Coordinates refined in Year 925 survey.,
MS-0266,Harmonic Attractor,,0.113,-0.5555,0.4022,1.043,BA-006,inner,0.77,0.74,minor_attractor,7,structure,930,boundary_extrapolation,0.6,Western Archive Team,Sheltered form in the lee of the major attractors. Coordinates refined in Year 925 survey.,
MS-0267,The Convergent Pattern,,-0.6749,0.5268,-0.3451,0.423,BA-016,center,0.99,0.86,major_attractor,2,entity,922,similarity_inference,0.94,Archive Survey Team,Highly stable form at the center of Basin Basin 016. First documented by Vells in Year 918.,
MS-0268,Outer State,,-0.4436,0.6099,-0.0434,-0.726,BA-009,inner,0.68,0.58,minor_attractor,11,creature,923,similarity_inference,0.85,T. Vells,Stable resting form on the slopes of Basin Basin 009. Adjacent to documented geodesic path.,
MS-0269,Unstable Southern,,-0.4189,-0.1839,-0.2082,-2.0,BA-008,ridge_adjacent,0.22,0.2,unstable,2,entity,931,similarity_inference,0.88,E. Pol (historical),Highly unstable form in a region of negative curvature. Possibly connected to Keth's spatial observations.,
MS-0270,Dissonant State,,0.2638,-0.5224,0.2452,-0.554,BA-043,inner,0.8,0.77,minor_attractor,3,structure,919,historical_reconstruction,0.69,Archive Survey Team,Secondary attractor providing intermediate stability. Identified through transformation trajectory analysis.,
MS-0271,The Orbital Resting Form,,0.0754,-0.1543,-0.4959,-1.354,BA-033,outer,0.62,0.59,minor_attractor,,place,919,similarity_inference,0.61,T. Vells,Sheltered form in the lee of the major attractors. Position confirmed by multiple observers.,
MS-0272,Transitional Recent,,-0.0875,0.7993,-0.6566,-0.259,BA-035,outer,0.44,0.31,transitional,5,behavior,923,direct_triangulation,0.89,T. Vells,Waypoint between Basin Basin 035 and adjacent territory. Identified through transformation trajectory analysis.,
MS-0273,The Northern Attractor,,0.257,-0.1684,-0.36,0.844,BA-033,center,0.96,0.82,major_attractor,2,creature,926,direct_triangulation,0.75,C. Vells,Highly stable form at the center of Basin Basin 033. Basin assignment contested until Year 920.,
MS-0274,Primary Flow,,-0.37,0.0665,-0.4154,-2.0,BA-031,ridge_adjacent,0.33,0.43,transitional,,behavior,921,direct_triangulation,0.75,P. Brent (historical),Passage form connecting distinct regions of morphospace. Identified through transformation trajectory analysis.,
MS-0275,Primary Transition,,-0.1757,1,0.3796,-1.228,BA-049,ridge_adjacent,0.27,0.27,transitional,,structure,923,similarity_inference,0.9,K. Strand,Passage form connecting distinct regions of morphospace. Identified through transformation trajectory analysis.,
MS-0276,Flat State,,0.7735,0.8239,0.9482,-2.0,BA-005,outer,0.69,0.64,minor_attractor,7,entity,926,similarity_inference,0.81,Senate Survey,Secondary attractor providing intermediate stability. Basin assignment contested until Year 920.,
MS-0277,The Ancient Resting Form,,0.9134,0.0936,0.1384,-2.0,BA-007,outer,0.66,0.57,minor_attractor,,entity,922,similarity_inference,0.92,K. Strand,Local minimum in the morphospace landscape. Archive Survey Team documentation.,
MS-0278,Harmonic Waypoint,,-0.1801,0.3594,0.1576,-0.285,BA-029,ridge_adjacent,0.36,0.35,transitional,5,place,931,direct_triangulation,0.92,Independent Scholar,Waypoint between Basin Basin 029 and adjacent territory. Archive Survey Team documentation.,
MS-0279,The Secondary Chaos,,-0.1834,1,0.7643,-1.106,BA-014,outer,0.15,0.05,unstable,,creature,918,similarity_inference,0.74,K. Strand,Fluctuating form with minimal persistence time. Prime association uncertain.,
MS-0280,Transitional Wide,,-0.127,-0.4026,0.0593,-0.991,BA-002,ridge_adjacent,0.33,0.25,transitional,2,creature,921,similarity_inference,0.58,E. Pol (historical),Waypoint between Basin Binary Basin and adjacent territory. First documented by Vells in Year 918.,
MS-0281,Western State,,-0.1608,-0.287,-0.0902,-2.0,BA-050,outer,0.55,0.45,minor_attractor,5,phenomenon,918,similarity_inference,0.89,E. Pol (historical),Sheltered form in the lee of the major attractors. Identified through transformation trajectory analysis.,
MS-0282,Primary Waypoint,,0.6955,-0.8614,1,-2.0,BA-030,ridge_adjacent,0.31,0.23,transitional,3,creature,918,similarity_inference,0.67,Independent Scholar,Ridge-adjacent form where systems pause briefly. Basin assignment contested until Year 920.,
MS-0283,Linear Flow,,0.0071,0.256,-0.0142,0.054,BA-022,outer,0.49,0.41,transitional,2,phenomenon,928,similarity_inference,0.91,C. Vells,Passage form connecting distinct regions of morphospace. Prime association uncertain.,
MS-0284,The Tertiary Bridge,,0.7041,-0.4526,0.8448,-2.0,BA-018,ridge_adjacent,0.42,0.45,transitional,,behavior,928,direct_triangulation,0.74,Archive Survey Team,Transitional state with limited persistence. Shows oscillation similar to FL-003.,
MS-0285,Inner State,,-0.4484,0.8843,0.2884,-0.617,BA-039,inner,0.73,0.58,minor_attractor,3,behavior,928,similarity_inference,0.61,T. Vells,Sheltered form in the lee of the major attractors. Prime association uncertain.,
MS-0286,Tertiary Drift,,-0.6077,0.5426,-0.4454,-0.907,BA-016,outer,0.3,0.24,unstable,,structure,929,historical_reconstruction,0.73,Archive Survey Team,Dissolution state where form coherence breaks down. Prime association uncertain.,
MS-0287,Dissonant Transition,,0.401,0.045,-0.1867,-2.0,BA-033,outer,0.4,0.36,transitional,5,creature,918,similarity_inference,0.65,Western Archive Team,Ridge-adjacent form where systems pause briefly. Archive Survey Team documentation.,
MS-0288,Secondary Spiral Pattern,,0.6385,-0.1304,-0.8097,-0.094,BA-010,inner,0.76,0.71,minor_attractor,2,creature,927,direct_triangulation,0.75,Independent Scholar,Stable resting form on the slopes of Basin Basin 010. Position confirmed by multiple observers.,
MS-0289,The Southern Bridge,,-0.6208,0.7498,-0.0466,-2.0,BA-009,ridge_adjacent,0.34,0.29,transitional,5,creature,929,direct_triangulation,0.58,C. Vells,Waypoint between Basin Basin 009 and adjacent territory. Manifestation observed in Yeller Quarry.,
MS-0290,The Shallow Resting Form,,0.0937,0.7029,-0.6026,-1.613,BA-041,outer,0.54,0.5,minor_attractor,11,creature,932,direct_triangulation,0.7,C. Vells,Local minimum in the morphospace landscape. Manifestation observed in Yeller Quarry.,
MS-0291,Southern Attractor,,-0.3442,-0.1808,-0.5555,0.394,BA-031,inner,0.63,0.57,minor_attractor,11,structure,926,similarity_inference,0.93,C. Vells,Local minimum in the morphospace landscape. Possibly connected to Keth's spatial observations.,
MS-0292,The Western Configuration,,-0.8062,-0.2033,-0.6868,-0.567,BA-045,outer,0.52,0.44,minor_attractor,,creature,929,direct_triangulation,0.62,Western Archive Team,Local minimum in the morphospace landscape. Coordinates refined in Year 925 survey.,
MS-0293,Secondary Orbital Pattern,,-0.2269,0.2961,0.1791,-1.713,BA-022,outer,0.7,0.59,minor_attractor,11,place,931,similarity_inference,0.88,C. Vells,Sheltered form in the lee of the major attractors. Identified through transformation trajectory analysis.,
MS-0294,Convergent Attractor,,-0.7679,-0.1333,-0.0579,-1.366,BA-008,outer,0.57,0.53,minor_attractor,7,structure,929,historical_reconstruction,0.73,Senate Survey,Secondary attractor providing intermediate stability. Near saddle point SP-001.,
MS-0295,The Inner Passage,,-0.7194,-0.2601,0.9389,-2.0,BA-038,outer,0.42,0.37,transitional,3,creature,922,similarity_inference,0.88,T. Vells,Waypoint between Basin Basin 038 and adjacent territory. Archive Survey Team documentation.,
MS-0296,Convergent Dissolution,,-0.6227,0.5294,-0.3033,-1.207,BA-016,outer,0.1,0.09,unstable,,creature,928,direct_triangulation,0.76,C. Vells,Fluctuating form with minimal persistence time. Shows oscillation similar to FL-003.,
MS-0297,The Radial Bridge,,-0.8189,-0.2032,0.9339,-2.0,BA-002,ridge_adjacent,0.5,0.43,transitional,,behavior,926,direct_triangulation,0.83,E. Pol (historical),Passage form connecting distinct regions of morphospace. Position confirmed by multiple observers.,
MS-0298,The Orbital State,,-0.74,0.0247,-0.7098,-0.534,BA-042,inner,0.97,0.85,major_attractor,,behavior,929,similarity_inference,0.88,E. Pol (historical),Highly stable form at the center of Basin Basin 042. Shows oscillation similar to FL-003.,
MS-0299,Secondary Waypoint,,-0.6722,-0.4681,-0.6201,-0.597,BA-026,outer,0.4,0.36,transitional,,phenomenon,923,direct_triangulation,0.58,Archive Survey Team,Ridge-adjacent form where systems pause briefly. Basin assignment contested until Year 920.,
MS-0300,Linear Minor,,0.4828,0.5451,0.0967,-0.902,BA-003,outer,0.6,0.55,minor_attractor,2,phenomenon,923,direct_triangulation,0.83,K. Strand,Stable resting form on the slopes of Basin Tension Basin. Adjacent to documented geodesic path.,
MS-0301,Linear Attractor,,-0.2354,0.4185,-0.2556,-0.396,BA-015,outer,0.73,0.67,minor_attractor,2,entity,921,historical_reconstruction,0.82,Archive Survey Team,Local minimum in the morphospace landscape. Possibly connected to Keth's spatial observations.,
MS-0302,The Western Attractor,,-0.36,0.7133,0.003,-0.16,BA-009,inner,0.95,0.87,major_attractor,5,behavior,924,historical_reconstruction,0.58,Independent Scholar,Deep attractor drawing systems from a wide catchment. Shows oscillation similar to FL-003.,
MS-0303,Shallow Attractor,,0.4412,0.3832,0.4765,-1.886,BA-001,outer,0.64,0.62,minor_attractor,,behavior,928,similarity_inference,0.84,Independent Scholar,Sheltered form in the lee of the major attractors. Adjacent to documented geodesic path.,
MS-0304,The Inner Mode,,-0.5167,0.8943,0.1919,0.922,BA-039,center,0.97,0.85,major_attractor,2,phenomenon,925,similarity_inference,0.68,T. Vells,Strong attractor with high escape velocity. First documented by Vells in Year 918.,
MS-0305,Radial Attractor,,-0.0274,0.8243,0.5147,-2.0,BA-004,outer,0.72,0.69,minor_attractor,5,behavior,919,boundary_extrapolation,0.75,C. Vells,Stable resting form on the slopes of Basin Triad Basin. Curvature measurements indicate hyperbolic local geometry.,
MS-0306,Secondary Eastern Pattern,,0.2921,-0.0474,0.7423,-1.27,BA-018,outer,0.69,0.63,minor_attractor,,creature,927,boundary_extrapolation,0.75,Boundary Commission,Secondary attractor providing intermediate stability. Possibly connected to Keth's spatial observations.,
MS-0307,Shallow Fluctuation,,-0.3787,0.7857,0.274,-2.0,BA-014,ridge_adjacent,0.22,0.16,unstable,,entity,921,similarity_inference,0.62,Archive Survey Team,Near-chaos configuration in Dens-correlated territory. Near saddle point SP-001.,
MS-0308,The Axial Configuration,,-0.3638,-0.2015,-0.4191,-0.234,BA-031,inner,0.64,0.65,minor_attractor,,entity,928,boundary_extrapolation,0.8,Independent Scholar,Sheltered form in the lee of the major attractors. Basin assignment contested until Year 920.,
MS-0309,Secondary Attractor,,-0.471,0.7763,0.167,-1.438,BA-049,outer,0.73,0.66,minor_attractor,11,creature,919,boundary_extrapolation,0.62,Senate Survey,Local minimum in the morphospace landscape. Boundary Commission survey site.,
MS-0310,The Flat Form,,0.2655,0.1053,-0.1068,0.539,BA-028,center,0.92,0.84,major_attractor,2,creature,921,historical_reconstruction,0.68,K. Strand,Deep attractor drawing systems from a wide catchment. Archive Survey Team documentation.,
MS-0311,Secondary Drift,,0.6666,-0.1906,-0.8846,-1.114,BA-010,ridge_adjacent,0.24,0.24,unstable,2,behavior,929,similarity_inference,0.82,Archive Survey Team,Highly unstable form in a region of negative curvature. Shows oscillation similar to FL-003.,
MS-0312,Transitional Radial,,-0.4085,0.231,0.4855,-1.261,BA-040,ridge_adjacent,0.34,0.34,transitional,2,entity,930,similarity_inference,0.84,K. Strand,Waypoint between Basin Basin 040 and adjacent territory. Prime association uncertain.,
MS-0313,Wide Flow,,0.4114,0.7442,0.0118,-2.0,BA-041,ridge_adjacent,0.4,0.37,transitional,,creature,920,similarity_inference,0.92,Independent Scholar,Waypoint between Basin Basin 041 and adjacent territory. Prime association uncertain.,
MS-0314,Tertiary Transition,,0.5565,-0.447,-0.4876,-2.0,BA-019,ridge_adjacent,0.24,0.32,transitional,3,structure,932,direct_triangulation,0.83,K. Strand,Transitional state with limited persistence. Manifestation observed in Yeller Quarry.,
MS-0315,The Southern Configuration,,-0.5201,-0.6374,-0.0176,0.087,BA-027,outer,0.63,0.65,minor_attractor,2,entity,931,similarity_inference,0.58,P. Brent (historical),Secondary attractor providing intermediate stability. Boundary Commission survey site.,
MS-0316,The Resonant Configuration,,0.4525,0.1075,-0.7023,0.441,BA-032,outer,0.57,0.54,minor_attractor,,creature,925,direct_triangulation,0.82,Senate Survey,Secondary attractor providing intermediate stability. Manifestation observed in Yeller Quarry.,
MS-0317,The Eastern Resting Form,,-0.1913,0.6441,0.4324,-0.364,BA-004,outer,0.63,0.57,minor_attractor,11,creature,921,similarity_inference,0.88,Western Archive Team,Secondary attractor providing intermediate stability. Prime association uncertain.,
MS-0318,Northern Attractor,,0.6466,-0.1409,-0.48,-1.377,BA-019,outer,0.55,0.44,minor_attractor,11,creature,928,direct_triangulation,0.92,T. Vells,Local minimum in the morphospace landscape. Position confirmed by multiple observers.,
MS-0319,The Linear Passage,,0.7594,0.8029,0.4856,-1.4,BA-013,ridge_adjacent,0.36,0.32,transitional,,place,918,boundary_extrapolation,0.69,Boundary Commission,Passage form connecting distinct regions of morphospace. Basin assignment contested until Year 920.,
MS-0320,The Divergent Chaos,,-0.3379,0.5113,0.1499,-2.0,BA-049,ridge_adjacent,0.19,0.11,unstable,,creature,929,direct_triangulation,0.93,Independent Scholar,Near-chaos configuration in Dens-correlated territory. Coordinates refined in Year 925 survey.,
MS-0321,Resonant Dissolution,,-0.703,0.5552,-0.0826,-0.41,BA-036,ridge_adjacent,0.2,0.15,unstable,2,structure,919,similarity_inference,0.68,Archive Survey Team,Near-chaos configuration in Dens-correlated territory. Near saddle point SP-001.,
MS-0322,The Axial Resting Form,,-0.6597,0.5469,-0.2407,0.034,BA-036,inner,0.65,0.61,minor_attractor,,behavior,919,direct_triangulation,0.56,C. Vells,Stable resting form on the slopes of Basin Basin 036. Manifestation observed in Yeller Quarry.,
MS-0323,Secondary Dissonant Pattern,,0.0319,-0.3023,-0.4585,-1.502,BA-033,outer,0.66,0.66,minor_attractor,,entity,924,direct_triangulation,0.63,Western Archive Team,Secondary attractor providing intermediate stability. Archive Survey Team documentation.,
MS-0324,The Curved Passage,,0.5571,0.5664,1,-2.0,BA-005,ridge_adjacent,0.47,0.43,transitional,5,behavior,928,direct_triangulation,0.73,P. Brent (historical),Ridge-adjacent form where systems pause briefly. Shows oscillation similar to FL-003.,
MS-0325,Axial State,,-0.0761,-0.1304,-0.2401,-2.0,BA-021,outer,0.6,0.55,minor_attractor,5,place,919,similarity_inference,0.95,Archive Survey Team,Stable resting form on the slopes of Basin Basin 021. Position confirmed by multiple observers.,
MS-0326,Transitional Ancient,,-0.8803,-0.1836,-0.6895,-1.5,BA-045,outer,0.27,0.27,transitional,,behavior,932,boundary_extrapolation,0.64,K. Strand,Transitional state with limited persistence. Possibly connected to Keth's spatial observations.,
MS-0327,Recent State,,-0.9075,-0.2417,-0.1728,0.334,BA-023,inner,0.66,0.56,minor_attractor,7,creature,921,direct_triangulation,0.76,Western Archive Team,Sheltered form in the lee of the major attractors. Manifestation observed in Yeller Quarry.,
MS-0328,Linear State,,-0.5914,-0.033,0.0332,-1.713,BA-008,outer,0.59,0.53,minor_attractor,,entity,928,direct_triangulation,0.72,P. Brent (historical),Secondary attractor providing intermediate stability. Possibly connected to Keth's spatial observations.,
MS-0329,The Radial Form,,0.2194,-0.2683,0.645,0.528,BA-018,center,0.93,0.94,major_attractor,7,phenomenon,923,boundary_extrapolation,0.92,T. Vells,Strong attractor with high escape velocity. Adjacent to documented geodesic path.,
MS-0330,The Western Chaos,,-0.4982,0.2087,0.5875,-2.0,BA-040,ridge_adjacent,0.14,0.15,unstable,,creature,931,similarity_inference,0.85,K. Strand,Highly unstable form in a region of negative curvature. Position confirmed by multiple observers.,
MS-0331,The Dissonant Resting Form,,0.6885,0.4562,0.059,-1.614,BA-003,outer,0.71,0.65,minor_attractor,2,creature,930,historical_reconstruction,0.79,Senate Survey,Sheltered form in the lee of the major attractors. Basin assignment contested until Year 920.,
MS-0332,The Outer Resting Form,,-0.4712,1,0.5459,-2.0,BA-014,outer,0.56,0.62,minor_attractor,,creature,928,similarity_inference,0.62,C. Vells,Secondary attractor providing intermediate stability. Near saddle point SP-001.,
MS-0333,The Linear Bridge,,-0.0165,0.9952,-0.5849,-1.944,BA-035,ridge_adjacent,0.45,0.45,transitional,,creature,930,similarity_inference,0.73,T. Vells,Transitional state with limited persistence. Shows oscillation similar to FL-003.,
MS-0334,Recent Transition,,-0.4416,-0.2865,-0.6967,-1.948,BA-031,ridge_adjacent,0.32,0.24,transitional,,structure,928,boundary_extrapolation,0.6,Senate Survey,Waypoint between Basin Basin 031 and adjacent territory. Possibly connected to Keth's spatial observations.,
MS-0335,The Harmonic Configuration,,-0.6716,0.4772,-0.1999,0.661,BA-036,outer,0.7,0.61,minor_attractor,,creature,920,similarity_inference,0.82,C. Vells,Secondary attractor providing intermediate stability. Near saddle point SP-001.,
MS-0336,Secondary Flat Pattern,,0.2533,-0.5181,0.7383,-0.252,BA-030,inner,0.73,0.67,minor_attractor,11,creature,926,similarity_inference,0.94,Boundary Commission,Local minimum in the morphospace landscape. First documented by Vells in Year 918.,
MS-0337,Deep Attractor,,0.5822,0.4429,0.2712,-0.45,BA-003,inner,0.77,0.67,minor_attractor,2,entity,929,historical_reconstruction,0.71,T. Vells,Local minimum in the morphospace landscape. Coordinates refined in Year 925 survey.,
MS-0338,The Harmonic Bridge,,-0.5391,-0.425,-0.0152,-2.0,BA-023,outer,0.51,0.48,transitional,,entity,925,similarity_inference,0.56,C. Vells,Ridge-adjacent form where systems pause briefly. Archive Survey Team documentation.,
MS-0339,Ancient Minor,,-0.4465,0.4754,-0.353,0.084,BA-037,inner,0.72,0.71,minor_attractor,,creature,929,direct_triangulation,0.91,T. Vells,Sheltered form in the lee of the major attractors. Shows oscillation similar to FL-003.,
MS-0340,Recent Dissolution,,-0.133,-0.2309,-0.2191,-2.0,BA-050,outer,0.3,0.27,unstable,,structure,932,direct_triangulation,0.66,T. Vells,Highly unstable form in a region of negative curvature. Near saddle point SP-001.,
MS-0341,Primary State,,0.1689,-0.2516,-0.4409,-0.445,BA-033,inner,0.62,0.49,minor_attractor,11,entity,932,similarity_inference,0.71,K. Strand,Sheltered form in the lee of the major attractors. Possibly connected to Keth's spatial observations.,
MS-0342,The Outer Configuration,,0.5789,-0.3371,-0.497,-1.825,BA-019,outer,0.57,0.54,minor_attractor,,phenomenon,928,historical_reconstruction,0.69,P. Brent (historical),Sheltered form in the lee of the major attractors. Curvature measurements indicate hyperbolic local geometry.,
MS-0343,Transitional Narrow,,0.6281,-0.2696,-0.5927,-0.53,BA-019,outer,0.45,0.32,transitional,,creature,931,historical_reconstruction,0.83,T. Vells,Waypoint between Basin Basin 019 and adjacent territory. Boundary Commission survey site.,
MS-0344,Inner Transition,,-0.4924,-0.67,0.0656,-1.55,BA-027,ridge_adjacent,0.42,0.41,transitional,5,structure,926,historical_reconstruction,0.65,K. Strand,Ridge-adjacent form where systems pause briefly. Adjacent to documented geodesic path.,
MS-0345,Axial Dissolution,,-0.8783,0.4259,-0.154,-1.724,BA-036,ridge_adjacent,0.18,0.19,unstable,,creature,924,historical_reconstruction,0.85,C. Vells,Dissolution state where form coherence breaks down. First documented by Vells in Year 918.,
MS-0346,The Eastern Configuration,,0.4717,0.0164,0.2631,-1.664,BA-001,outer,0.71,0.6,minor_attractor,2,behavior,919,similarity_inference,0.63,C. Vells,Sheltered form in the lee of the major attractors. Basin assignment contested until Year 920.,
MS-0347,Axial Minor,,-0.2254,-0.1572,-0.1881,0.469,BA-021,inner,0.76,0.67,minor_attractor,,behavior,928,similarity_inference,0.55,Western Archive Team,Secondary attractor providing intermediate stability. Prime association uncertain.,
MS-0348,The Curved Resting Form,,0.5057,-0.4956,-0.0415,-0.448,BA-044,inner,0.63,0.5,minor_attractor,11,structure,921,historical_reconstruction,0.86,Senate Survey,Secondary attractor providing intermediate stability. First documented by Vells in Year 918.,
MS-0349,The Resonant Resting Form,,-0.2636,-0.362,0.2761,-0.215,BA-002,inner,0.67,0.73,minor_attractor,7,creature,928,direct_triangulation,0.76,Senate Survey,Stable resting form on the slopes of Basin Binary Basin. Basin assignment contested until Year 920.,
MS-0350,Spiral Minor,,0.1274,0.8016,-0.4185,0.478,BA-041,outer,0.66,0.58,minor_attractor,,structure,919,direct_triangulation,0.93,Boundary Commission,Local minimum in the morphospace landscape. Manifestation observed in Yeller Quarry.,
MS-0351,Convergent Waypoint,,0.5476,0.336,0.2387,-0.718,BA-007,outer,0.39,0.35,transitional,,entity,923,similarity_inference,0.6,E. Pol (historical),Transitional state with limited persistence. Position confirmed by multiple observers.,
MS-0352,Curved State,,-0.1872,-0.108,-0.4351,-2.0,BA-031,outer,0.68,0.6,minor_attractor,7,behavior,930,similarity_inference,0.67,Archive Survey Team,Secondary attractor providing intermediate stability. Adjacent to documented geodesic path.,
MS-0353,Outer Minor,,0.0611,-0.817,-0.5785,-0.26,BA-025,outer,0.67,0.63,minor_attractor,5,phenomenon,919,similarity_inference,0.86,Boundary Commission,Stable resting form on the slopes of Basin Basin 025. Identified through transformation trajectory analysis.,
MS-0354,Flat Flow,,-0.738,0.484,0.4028,-1.7,BA-024,ridge_adjacent,0.4,0.4,transitional,5,entity,925,direct_triangulation,0.91,T. Vells,Ridge-adjacent form where systems pause briefly. Archive Survey Team documentation.,
MS-0355,Wide Minor,,-0.6739,-0.2567,0.0336,-1.058,BA-023,outer,0.64,0.66,minor_attractor,,creature,923,historical_reconstruction,0.67,C. Vells,Secondary attractor providing intermediate stability. Possibly connected to Keth's spatial observations.,
MS-0356,Northern State,,-0.4964,0.3181,0.1657,-0.916,BA-029,outer,0.55,0.41,minor_attractor,5,behavior,929,similarity_inference,0.65,P. Brent (historical),Local minimum in the morphospace landscape. Shows oscillation similar to FL-003.,
MS-0357,The Harmonic Resting Form,,-0.9992,-0.1127,-0.0204,-0.541,BA-023,outer,0.71,0.57,minor_attractor,5,creature,926,similarity_inference,0.92,C. Vells,Stable resting form on the slopes of Basin Basin 023. Coordinates refined in Year 925 survey.,
MS-0358,Secondary Outer Pattern,,-0.6176,-0.5857,0.0191,-0.611,BA-027,outer,0.72,0.76,minor_attractor,11,place,928,direct_triangulation,0.69,Western Archive Team,Local minimum in the morphospace landscape. Basin assignment contested until Year 920.,
MS-0359,Primary Dissolution,,-0.6838,-0.267,-0.5802,-0.46,BA-045,outer,0.15,0.14,unstable,3,behavior,920,similarity_inference,0.72,Independent Scholar,Dissolution state where form coherence breaks down. Coordinates refined in Year 925 survey.,
MS-0360,The Orbital Form,,-0.5801,-0.4724,-0.5134,0.274,BA-026,inner,0.96,0.87,major_attractor,,entity,930,similarity_inference,0.75,Independent Scholar,Strong attractor with high escape velocity. Identified through transformation trajectory analysis.,
MS-0361,Unstable Inner,,-0.8369,-0.2798,-0.9151,-2.0,BA-045,ridge_adjacent,0.11,0.09,unstable,,creature,920,similarity_inference,0.63,Archive Survey Team,Near-chaos configuration in Dens-correlated territory. Manifestation observed in Yeller Quarry.,
MS-0362,Narrow Flow,,-0.5164,-0.0696,-0.0585,-0.882,BA-002,ridge_adjacent,0.33,0.3,transitional,,behavior,924,historical_reconstruction,0.66,Senate Survey,Ridge-adjacent form where systems pause briefly. Prime association uncertain.,
